date,year,host_country,stage,home_team,away_team,home_score,away_score,winning_team,losing_team
07-13-1930,1930,Uruguay,Group 1,France,Mexico,4,1,France,Mexico
07-13-1930,1930,Uruguay,Group 4,Belgium,USA,0,3,USA,Belgium
07-14-1930,1930,Uruguay,Group 2,Brazil,Yugoslavia,1,2,Yugoslavia,Brazil
07-14-1930,1930,Uruguay,Group 3,Peru,Romania,1,3,Romania,Peru
07-15-1930,1930,Uruguay,Group 1,Argentina,France,1,0,Argentina,France
07-16-1930,1930,Uruguay,Group 1,Chile,Mexico,3,0,Chile,Mexico
07-17-1930,1930,Uruguay,Group 2,Bolivia,Yugoslavia,0,4,Yugoslavia,Bolivia
07-17-1930,1930,Uruguay,Group 4,Paraguay,USA,0,3,USA,Paraguay
07-18-1930,1930,Uruguay,Group 3,Uruguay,Peru,1,0,Uruguay,Peru
07-19-1930,1930,Uruguay,Group 1,Argentina,Mexico,6,3,Argentina,Mexico
07-19-1930,1930,Uruguay,Group 1,Chile,France,1,0,Chile,France
07-20-1930,1930,Uruguay,Group 4,Belgium,Paraguay,0,1,Paraguay,Belgium
07-20-1930,1930,Uruguay,Group 2,Bolivia,Brazil,0,4,Brazil,Bolivia
07-21-1930,1930,Uruguay,Group 3,Uruguay,Romania,4,0,Uruguay,Romania
07-22-1930,1930,Uruguay,Group 1,Argentina,Chile,3,1,Argentina,Chile
07-26-1930,1930,Uruguay,Semifinals,Argentina,USA,6,1,Argentina,USA
07-27-1930,1930,Uruguay,Semifinals,Uruguay,Yugoslavia,6,1,Uruguay,Yugoslavia
07-30-1930,1930,Uruguay,Final,Uruguay,Argentina,4,2,Uruguay,Argentina
05-27-1934,1934,Italy,Round of 16,Argentina,Sweden,2,3,Sweden,Argentina
05-27-1934,1934,Italy,Round of 16,Austria,France,3,2,Austria,France
05-27-1934,1934,Italy,Round of 16,Belgium,Germany,2,5,Germany,Belgium
05-27-1934,1934,Italy,Round of 16,Brazil,Spain,1,3,Spain,Brazil
05-27-1934,1934,Italy,Round of 16,Czechoslovakia,Romania,2,1,Czechoslovakia,Romania
05-27-1934,1934,Italy,Round of 16,Egypt,Hungary,2,4,Hungary,Egypt
05-27-1934,1934,Italy,Round of 16,Italy,USA,7,1,Italy,USA
05-27-1934,1934,Italy,Round of 16,Netherlands,Switzerland,2,3,Switzerland,Netherlands
05-31-1934,1934,Italy,Quarterfinals,Austria,Hungary,2,1,Austria,Hungary
05-31-1934,1934,Italy,Quarterfinals,Czechoslovakia,Switzerland,3,2,Czechoslovakia,Switzerland
05-31-1934,1934,Italy,Quarterfinals,Germany,Sweden,2,1,Germany,Sweden
05-31-1934,1934,Italy,Quarterfinals,Italy,Spain,1,1,NR,NR
06-01-1934,1934,Italy,Quarterfinals,Italy,Spain,1,0,Italy,Spain
06-03-1934,1934,Italy,Semifinals,Czechoslovakia,Germany,3,1,Czechoslovakia,Germany
06-03-1934,1934,Italy,Semifinals,Italy,Austria,1,0,Italy,Austria
06-07-1934,1934,Italy,Third place,Austria,Germany,2,3,West Germany,Austria
06-10-1934,1934,Italy,Final,Italy,Czechoslovakia,2,1,Italy,Czechoslovakia
06-04-1938,1938,France,Round of 16,Germany,Switzerland,1,1,NR,NR
06-05-1938,1938,France,Round of 16,Brazil,Poland,6,5,Brazil,Poland
06-05-1938,1938,France,Round of 16,Cuba,Romania,3,3,NR,NR
06-05-1938,1938,France,Round of 16,Czechoslovakia,Netherlands,3,0,Czechoslovakia,Netherlands
06-05-1938,1938,France,Round of 16,France,Belgium,3,1,France,Belgium
06-05-1938,1938,France,Round of 16,Hungary,Dutch West Indies,6,0,Hungary,Dutch West Indies
06-05-1938,1938,France,Round of 16,Italy,Norway,2,1,Italy,Norway
06-09-1938,1938,France,Round of 16,Cuba,Romania,2,1,Cuba,Romania
06-09-1938,1938,France,Round of 16,Germany,Switzerland,2,4,Switzerland,Germany
06-12-1938,1938,France,Quarterfinals,Brazil,Czechoslovakia,1,1,NR,NR
06-12-1938,1938,France,Quarterfinals,Cuba,Sweden,0,8,Sweden,Cuba
06-12-1938,1938,France,Quarterfinals,France,Italy,1,3,Italy,France
06-12-1938,1938,France,Quarterfinals,Hungary,Switzerland,2,0,Hungary,Switzerland
06-14-1938,1938,France,Quarterfinals,Brazil,Czechoslovakia,2,1,Brazil,Czechoslovakia
06-16-1938,1938,France,Semifinals,Brazil,Italy,1,2,Italy,Brazil
06-16-1938,1938,France,Semifinals,Hungary,Sweden,5,1,Hungary,Sweden
06-19-1938,1938,France,Third place,Brazil,Sweden,4,2,Brazil,Sweden
06-19-1938,1938,France,Final,Hungary,Italy,2,4,Italy,Hungary
06-24-1950,1950,Brazil,Group 1,Brazil,Mexico,4,0,Brazil,Mexico
06-25-1950,1950,Brazil,Group 2,Chile,England,0,2,England,Chile
06-25-1950,1950,Brazil,Group 3,Italy,Sweden,2,3,Sweden,Italy
06-25-1950,1950,Brazil,Group 2,Spain,USA,3,1,Spain,USA
06-25-1950,1950,Brazil,Group 1,Switzerland,Yugoslavia,0,3,Yugoslavia,Switzerland
06-28-1950,1950,Brazil,Group 1,Brazil,Switzerland,2,2,NR,NR
06-28-1950,1950,Brazil,Group 1,Mexico,Yugoslavia,1,4,Yugoslavia,Mexico
06-29-1950,1950,Brazil,Group 2,Chile,Spain,0,2,Spain,Chile
06-29-1950,1950,Brazil,Group 2,England,USA,0,1,USA,England
06-29-1950,1950,Brazil,Group 3,Paraguay,Sweden,2,2,NR,NR
07-01-1950,1950,Brazil,Group 1,Brazil,Yugoslavia,2,0,Brazil,Yugoslavia
07-02-1950,1950,Brazil,Group 4,Bolivia,Uruguay,0,8,Uruguay,Bolivia
07-02-1950,1950,Brazil,Group 2,Chile,USA,5,2,Chile,USA
07-02-1950,1950,Brazil,Group 2,England,Spain,0,1,Spain,England
07-02-1950,1950,Brazil,Group 3,Italy,Paraguay,2,0,Italy,Paraguay
07-02-1950,1950,Brazil,Group 1,Mexico,Switzerland,1,2,Switzerland,Mexico
07-09-1950,1950,Brazil,Final Round,Brazil,Sweden,7,1,Brazil,Sweden
07-09-1950,1950,Brazil,Final Round,Spain,Uruguay,2,2,NR,NR
07-13-1950,1950,Brazil,Final Round,Brazil,Spain,6,1,Brazil,Spain
07-13-1950,1950,Brazil,Final Round,Sweden,Uruguay,2,3,Uruguay,Sweden
07-16-1950,1950,Brazil,Final Round,Brazil,Uruguay,1,2,Uruguay,Brazil
07-16-1950,1950,Brazil,Final Round,Spain,Sweden,1,3,Sweden,Spain
06-16-1954,1954,Switzerland,Group 3,Austria,Scotland,1,0,Austria,Scotland
06-16-1954,1954,Switzerland,Group 1,Brazil,Mexico,5,0,Brazil,Mexico
06-16-1954,1954,Switzerland,Group 3,Czechoslovakia,Uruguay,0,2,Uruguay,Czechoslovakia
06-16-1954,1954,Switzerland,Group 1,France,Yugoslavia,0,1,Yugoslavia,France
06-17-1954,1954,Switzerland,Group 4,Belgium,England,4,4,NR,NR
06-17-1954,1954,Switzerland,Group 2,West Germany,Turkey,4,1,West Germany,Turkey
06-17-1954,1954,Switzerland,Group 2,Hungary,South Korea,9,0,Hungary,South Korea
06-17-1954,1954,Switzerland,Group 4,Switzerland,Italy,2,1,Switzerland,Italy
06-19-1954,1954,Switzerland,Group 3,Austria,Czechoslovakia,5,0,Austria,Czechoslovakia
06-19-1954,1954,Switzerland,Group 1,Brazil,Yugoslavia,1,1,NR,NR
06-19-1954,1954,Switzerland,Group 1,France,Mexico,3,2,France,Mexico
06-19-1954,1954,Switzerland,Group 3,Scotland,Uruguay,0,7,Uruguay,Scotland
06-20-1954,1954,Switzerland,Group 4,Belgium,Italy,1,4,Italy,Belgium
06-20-1954,1954,Switzerland,Group 2,West Germany,Hungary,3,8,Hungary,West Germany
06-20-1954,1954,Switzerland,Group 2,South Korea,Turkey,0,7,Turkey,South Korea
06-20-1954,1954,Switzerland,Group 4,Switzerland,England,0,2,England,Switzerland
06-23-1954,1954,Switzerland,Group 2,West Germany,Turkey,7,2,West Germany,Turkey
06-23-1954,1954,Switzerland,Group 4,Switzerland,Italy,4,1,Switzerland,Italy
06-26-1954,1954,Switzerland,Quarterfinals,England,Uruguay,2,4,Uruguay,England
06-26-1954,1954,Switzerland,Quarterfinals,Switzerland,Austria,5,7,Austria,Switzerland
06-27-1954,1954,Switzerland,Quarterfinals,Brazil,Hungary,2,4,Hungary,Brazil
06-27-1954,1954,Switzerland,Quarterfinals,West Germany,Yugoslavia,2,0,West Germany,Yugoslavia
06-30-1954,1954,Switzerland,Semifinals,Austria,West Germany,1,6,West Germany,Austria
06-30-1954,1954,Switzerland,Semifinals,Hungary,Uruguay,4,2,Hungary,Uruguay
07-03-1954,1954,Switzerland,Third place,Austria,Uruguay,3,1,Austria,Uruguay
